date,reflection,mood,energy,productivity,tags
2025-01-30,"Spent some time reviewing machine learning, mostly going over gradient descent again.",5,7,7,coding
2025-01-31,Tried to study data visualization today but kept getting stuck on overfitting and felt frustrated. Need to get more rest tonight.,1,3,2,"python, study, data science"
2025-02-01,"Fairly lazy day overall, mixed a bit of rest with a few small chores. Nothing particularly stands out about today.",5,7,6,"weekend, rest"
2025-02-02,Read through some notes on feature engineering but didn't get much hands-on SQL practice done.,7,7,4,study
2025-02-04,Thinking about the exam a lot today but haven't really started preparing yet. Nothing particularly stands out about today.,5,7,6,"stress, anxiety"
2025-02-05,"Quiet day, spoke with an old friend for a bit over the phone. Nothing particularly stands out about today.",5,7,5,"family, weekend"
2025-02-06,"Did a light walk session, nothing intense, just kept the habit going. Nothing particularly stands out about today.",4,5,5,"health, wellbeing"
2025-02-07,"Thought about picking reading back up today but didn't get to it. A fairly typical day, all things considered.",7,9,6,"creativity, reading"
2025-02-08,"Looked into travel options for a new part of the city, nothing booked yet. A fairly typical day, all things considered.",4,6,6,"adventure, weekend, travel"
2025-02-09,"Fairly lazy day overall, mixed a bit of rest with a few small chores. Just an ordinary day overall.",5,5,6,relaxation
2025-02-10,"Spent the evening on writing, completely lost track of time — it was exactly what I needed. Looking forward to more days like this.",7,6,7,"hobbies, music"
2025-02-11,"The exam is coming up soon, feeling a mix of nervous and okay about it. Thinking about the job interview a lot today but haven't really started preparing yet. Ready to see what tomorrow brings.",6,7,6,deadline
2025-02-12,"Took a short trip to the countryside today, it was a nice change of scenery and really refreshing. Explored the countryside for the first time — such a great way to break the routine. Grateful for how the day turned out.",7,7,8,"adventure, travel"
2025-02-13,Missed a call from my parents and felt a bit guilty about not making more time for them lately. Need to get more rest tonight.,3,3,3,family
2025-02-14,Did a bit of writing but got distracted halfway through. Thought about picking photography back up today but didn't get to it. Ready to see what tomorrow brings.,6,4,6,"reading, music"
2025-02-15,"Slept badly last night and it affected the whole day. Couldn't really relax today even though I had the time, mind was too restless.",3,3,3,"rest, sleep, weekend"
2025-02-18,"Did a light run session, nothing intense, just kept the habit going. Just an ordinary day overall.",7,6,6,"health, fitness"
2025-02-19,"Despite the upcoming assignment due date, I felt in control today and made good progress preparing for it.",7,5,6,"anxiety, exam"
2025-02-20,Struggled a lot with hypothesis testing — statistics is starting to feel overwhelming.,5,4,5,learning
2025-02-22,Did a bit of playing guitar but got distracted halfway through. Ready to see what tomorrow brings.,5,6,4,"creativity, hobbies"
2025-02-23,Had a lovely time with my sibling — we went for a long walk and it lifted my mood a lot. Ending the day in a good mood.,6,6,5,family
2025-02-24,Wanted to spend time on writing today but couldn't find the motivation.,4,3,4,"hobbies, creativity, reading"
2025-02-26,"Fairly lazy day overall, mixed a bit of rest with a few small chores. Ready to see what tomorrow brings.",7,7,6,"relaxation, sleep"
2025-02-27,"Read through some notes on joins but didn't get much hands-on pandas practice done. Spent some time reviewing Python, mostly going over feature engineering again.",5,3,3,"learning, coding"
