date,reflection,mood,energy,productivity,tags,date_parsed,raw_reflection,cleaned_reflection,tokens,word_count,character_count,sentence_count
2025-01-30,"Spent some time reviewing machine learning, mostly going over gradient descent again.",5,7,7,coding,2025-01-30,"Spent some time reviewing machine learning, mostly going over gradient descent again.","spent some time reviewing machine learning, mostly going over gradient descent again.","['spent', 'time', 'reviewing', 'machine', 'learning', 'mostly', 'going', 'gradient', 'descent']",12,85,1
2025-01-31,Tried to study data visualization today but kept getting stuck on overfitting and felt frustrated. Need to get more rest tonight.,1,3,2,"python, study, data science",2025-01-31,Tried to study data visualization today but kept getting stuck on overfitting and felt frustrated. Need to get more rest tonight.,tried to study data visualization today but kept getting stuck on overfitting and felt frustrated. need to get more rest tonight.,"['tried', 'study', 'data', 'visualization', 'kept', 'getting', 'stuck', 'overfitting', 'frustrated', 'need', 'get', 'more', 'rest', 'tonight']",21,129,2
2025-02-01,"Fairly lazy day overall, mixed a bit of rest with a few small chores. Nothing particularly stands out about today.",5,7,6,"weekend, rest",2025-02-01,"Fairly lazy day overall, mixed a bit of rest with a few small chores. Nothing particularly stands out about today.","fairly lazy day overall, mixed a bit of rest with a few small chores. nothing particularly stands out about today.","['fairly', 'lazy', 'day', 'overall', 'mixed', 'bit', 'rest', 'few', 'small', 'chores', 'nothing', 'stands']",20,114,2
2025-02-02,Read through some notes on feature engineering but didn't get much hands-on SQL practice done.,7,7,4,study,2025-02-02,Read through some notes on feature engineering but didn't get much hands-on SQL practice done.,read through some notes on feature engineering but didn't get much hands-on sql practice done.,"['read', 'through', 'notes', 'feature', 'engineering', ""didn't"", 'get', 'much', 'hands', 'sql', 'practice', 'done']",15,94,1
2025-02-04,Thinking about the exam a lot today but haven't really started preparing yet. Nothing particularly stands out about today.,5,7,6,"stress, anxiety",2025-02-04,Thinking about the exam a lot today but haven't really started preparing yet. Nothing particularly stands out about today.,thinking about the exam a lot today but haven't really started preparing yet. nothing particularly stands out about today.,"['thinking', 'exam', 'lot', ""haven't"", 'started', 'preparing', 'yet', 'nothing', 'stands']",19,122,2
2025-02-05,"Quiet day, spoke with an old friend for a bit over the phone. Nothing particularly stands out about today.",5,7,5,"family, weekend",2025-02-05,"Quiet day, spoke with an old friend for a bit over the phone. Nothing particularly stands out about today.","quiet day, spoke with an old friend for a bit over the phone. nothing particularly stands out about today.","['quiet', 'day', 'spoke', 'old', 'friend', 'bit', 'phone', 'nothing', 'stands']",19,106,2
2025-02-06,"Did a light walk session, nothing intense, just kept the habit going. Nothing particularly stands out about today.",4,5,5,"health, wellbeing",2025-02-06,"Did a light walk session, nothing intense, just kept the habit going. Nothing particularly stands out about today.","did a light walk session, nothing intense, just kept the habit going. nothing particularly stands out about today.","['light', 'walk', 'session', 'nothing', 'intense', 'kept', 'habit', 'going', 'nothing', 'stands']",18,114,2
2025-02-07,"Thought about picking reading back up today but didn't get to it. A fairly typical day, all things considered.",7,9,6,"creativity, reading",2025-02-07,"Thought about picking reading back up today but didn't get to it. A fairly typical day, all things considered.","thought about picking reading back up today but didn't get to it. a fairly typical day, all things considered.","['thought', 'picking', 'reading', ""didn't"", 'get', 'fairly', 'typical', 'day', 'all', 'things', 'considered']",19,110,2
2025-02-08,"Looked into travel options for a new part of the city, nothing booked yet. A fairly typical day, all things considered.",4,6,6,"adventure, weekend, travel",2025-02-08,"Looked into travel options for a new part of the city, nothing booked yet. A fairly typical day, all things considered.","looked into travel options for a new part of the city, nothing booked yet. a fairly typical day, all things considered.","['looked', 'into', 'travel', 'options', 'new', 'part', 'city', 'nothing', 'booked', 'yet', 'fairly', 'typical', 'day', 'all', 'things', 'considered']",21,119,2
2025-02-09,"Fairly lazy day overall, mixed a bit of rest with a few small chores. Just an ordinary day overall.",5,5,6,relaxation,2025-02-09,"Fairly lazy day overall, mixed a bit of rest with a few small chores. Just an ordinary day overall.","fairly lazy day overall, mixed a bit of rest with a few small chores. just an ordinary day overall.","['fairly', 'lazy', 'day', 'overall', 'mixed', 'bit', 'rest', 'few', 'small', 'chores', 'ordinary', 'day', 'overall']",19,99,2
2025-02-10,"Spent the evening on writing, completely lost track of time — it was exactly what I needed. Looking forward to more days like this.",7,6,7,"hobbies, music",2025-02-10,"Spent the evening on writing, completely lost track of time — it was exactly what I needed. Looking forward to more days like this.","spent the evening on writing, completely lost track of time  it was exactly what i needed. looking forward to more days like this.","['spent', 'evening', 'writing', 'completely', 'lost', 'track', 'time', 'exactly', 'what', 'needed', 'looking', 'forward', 'more', 'days', 'like']",24,131,2
2025-02-11,"The exam is coming up soon, feeling a mix of nervous and okay about it. Thinking about the job interview a lot today but haven't really started preparing yet. Ready to see what tomorrow brings.",6,7,6,deadline,2025-02-11,"The exam is coming up soon, feeling a mix of nervous and okay about it. Thinking about the job interview a lot today but haven't really started preparing yet. Ready to see what tomorrow brings.","the exam is coming up soon, feeling a mix of nervous and okay about it. thinking about the job interview a lot today but haven't really started preparing yet. ready to see what tomorrow brings.","['exam', 'coming', 'soon', 'feeling', 'mix', 'nervous', 'okay', 'thinking', 'job', 'interview', 'lot', ""haven't"", 'started', 'preparing', 'yet', 'ready', 'see', 'what', 'tomorrow', 'brings']",35,193,3
